title,age_limit,rating,rating_count,images
블랙 아담,12세 관람가,,203,
미혹,15세 관람가,,12,
귀못,15세 관람가,,17,
캐릭터,15세 관람가,,17,
나를 죽여줘,15세 관람가,,5,
"그 남자, 좋은 간호사",15세 관람가,,3,
라이어X라이어,12세 관람가,,0,
아나이스 인 러브,15세 관람가,,15,
극장판 이세계 콰르텟: 어나더 월드,12세 관람가,,10,
시대혁명,15세 관람가,,7,
사잇소리,15세 관람가,,332,
어제 뭐 먹었어? - 극장판,12세 관람가,,13,
할로윈 엔드,청소년 관람불가,,15,
오펀: 천사의 탄생,15세 관람가,,470,
에브리씽 에브리웨어 올 앳 원스,15세 관람가,,901,
티켓 투 파라다이스,12세 관람가,,271,
대무가,15세 관람가,,452,
4DX 문유,12세 관람가,,16,
젊은 남자,15세 관람가,,80,
스마일,청소년 관람불가,,570,
극장판 검정고무신 : 즐거운 나의 집,전체 관람가,,81,
거래완료,12세 관람가,,91,
애프터 미투,15세 관람가,,86,
태안,15세 관람가,,10,
고고다이노 극장판: 얼음공룡의 비밀,전체 관람가,,83,
선데이리그,전체 관람가,,62,
은하철도 999 - 극장판,12세 관람가,,80,
컴백홈,15세 관람가,,512,
기동전사 건담 쿠쿠루스 도안의 섬,12세 관람가,,30,
블레이드 러너,15세 관람가,,"1,609",
스파이더맨: 노 웨이 홈 '펀버전',12세 관람가,,141,
신 에반게리온 극장판,15세 관람가,,165,
2차 송환,12세 관람가,,13,
주연,12세 관람가,,38,
인생은 아름다워,12세 관람가,,"6,147",
정직한 후보2,12세 관람가,,"3,451",
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,전체 관람가,,992,
극장판 헬로카봇: 수상한 마술단의 비밀,전체 관람가,,193,
성덕,12세 관람가,,140,
물방울을 그리는 남자,전체 관람가,,44,
극장판 5등분의 신부,12세 관람가,,243,
달이 지는 밤,15세 관람가,,53,
"지금, 이대로가 좋아요",15세 관람가,,916,
기기묘묘,15세 관람가,,39,
아이의 노랫소리를 들려줘,12세 관람가,,97,
늑대사냥,청소년 관람불가,,"6,231",
애프터: 에버 해피,15세 관람가,,110,
썬더버드,15세 관람가,,75,
둠둠,15세 관람가,,98,
홈리스,12세 관람가,,140,
당신의 이웃은 친절하지 않다,15세 관람가,,45,
9명의 번역가,15세 관람가,,128,
한여름밤의 재즈,12세 관람가,,119,
극장판 엄마 까투리: 도시로 간 까투리 가족,전체 관람가,,177,
성적표의 김민영,전체 관람가,,117,
"어쩌다 공주, 닭냥이 왕자를 부탁해!",전체 관람가,,61,
공조2: 인터내셔날,15세 관람가,,"11,638",
쥬라기캅스 극장판: 공룡시대 대모험,전체 관람가,,36,
다 잘된 거야,12세 관람가,,110,
사랑할 땐 누구나 최악이 된다,15세 관람가,,467,
말아,12세 관람가,,62,
인플루엔자,15세 관람가,,45,
육사오(6/45),12세 관람가,,"7,254",
내가 못 나가는 것도 아닌데,12세 관람가,,11,
뱅크시,전체 관람가,,32,
헌트,15세 관람가,,"17,332",
한산: 용의 출현,12세 관람가,,"27,147",
썸머 필름을 타고!,전체 관람가,,484,
미니언즈2,전체 관람가,,"2,519",
명탐정 코난: 할로윈의 신부,12세 관람가,,"1,684",
헤어질 결심,15세 관람가,,"13,825",
탑건: 매버릭,12세 관람가,,"42,180",
경아의 딸,15세 관람가,,104,
브로커,12세 관람가,,"9,085",
애프터 양,전체 관람가,,668,
오마주,12세 관람가,,188,
"아치의 노래, 정태춘",전체 관람가,,150,
중경삼림,15세 관람가,,"3,101",
태어나길 잘했어,12세 관람가,,89,
고양이들의 아파트,전체 관람가,,80,
레벤느망,15세 관람가,,204,
극장판 주술회전 0,15세 관람가,,"1,680",
씽2게더,전체 관람가,,"2,819",
피부를 판 남자,12세 관람가,,76,
아멜리에,15세 관람가,,"1,927",
너에게 가는 길,12세 관람가,,317,
퍼스트 카우,12세 관람가,,248,
쁘띠 마망,전체 관람가,,195,
종착역,전체 관람가,,52,
아임 유어 맨,15세 관람가,,70,
날씨의 아이,15세 관람가,,"6,335",
너의 이름은.,12세 관람가,,"33,094",
아담,12세 관람가,,19,
릴리 슈슈의 모든 것,15세 관람가,,"1,377",
피닉스,12세 관람가,,127,
꽃다발 같은 사랑을 했다,12세 관람가,,700,
메이드 인 루프탑,15세 관람가,,96,
해피 투게더,15세 관람가,,"1,235",
캐롤,청소년 관람불가,,"4,141",
화양연화,15세 관람가,,"2,237",
내언니전지현과 나,12세 관람가,,195,
안티고네,15세 관람가,,92,
구직자들,전체 관람가,,93,
비바리움,15세 관람가,,755,
부산행,15세 관람가,,"59,170",
이별의 아침에 약속의 꽃을 장식하자,12세 관람가,,"1,621",
언어의 정원,12세 관람가,,"2,549",
네 멋대로 해라: 장 뤽 고다르,15세 관람가,,22,
졸업,15세 관람가,,460,
윤희에게,12세 관람가,,"2,733",
벌새,15세 관람가,,"3,018",
지구 최후의 밤,12세 관람가,,190,
마담 프루스트의 비밀정원,전체 관람가,,"2,715",
녹색 광선,12세 관람가,,186,
기생충,15세 관람가,,"37,335",
보희와 녹양,12세 관람가,,240,
비브르 사 비,15세 관람가,,121,
너의 췌장을 먹고 싶어,12세 관람가,,"1,142",
주피터스 문,15세 관람가,,102,
소공녀,15세 관람가,,"2,969",
환절기,15세 관람가,,350,
천국보다 낯선,15세 관람가,,171,
초속5센티미터,전체 관람가,,"4,224",
번지 점프를 하다,15세 관람가,,"2,653",
시인의 사랑,15세 관람가,,415,
로렐,15세 관람가,,174,
본 투 비 블루,청소년 관람불가,,"1,612",
드롭박스,전체 관람가,,104,
400번의 구타,15세 관람가,,76,
독도의 영웅들,12세 관람가,,37,
리스본행 야간열차,15세 관람가,,"1,223",
달라스 바이어스 클럽,청소년 관람불가,,"1,311",
조금만 더 가까이,청소년 관람불가,,395,
밀크,15세 관람가,,304,
로드 무비,청소년 관람불가,,431,
정,12세 관람가,,161,
슬픔은 그대 가슴에,12세 관람가,,11,
여름 이야기,12세 관람가,,63,
접속,15세 관람가,,615,
페드라,청소년 관람불가,,38,
세 친구,15세 관람가,,68,
미지와의 조우,전체 관람가,,264,
나바론 요새,,,89,
뜨거운 양철 지붕 위의 고양이,,,18,
OK 목장의 결투,12세 관람가,,43,
누구를 위하여 종은 울리나,12세 관람가,,25,
이창,15세 관람가,,124,
뉴욕으로 간 타잔,,,0,
가스등 ,15세 관람가,,64,
